ident,latitude_deg,longitude_deg,term
5AK5,61.6571,-149.462,z
AK93,61.6552,-149.273,z
13AK,61.6547,-149.9,z
UUYY,61.647,50.8451,z
7AK9,61.6468,-149.049,z
AK27,61.6426,-149.624,z
6AK9,61.6335,-149.682,z
5AK8,61.6314,-149.432,z
9AK1,61.6309,-149.232,z
69AK,61.6289,-149.4236,z
AK46,61.6288,-149.043,z
2D3,61.6277,-149.239,z
3AK2,61.6275,-149.287,z
AK83,61.6273,-149.609,z
9AK8,61.6247,-149.682,z
9AK6,61.6241,-149.648,z
7AK8,61.6213,-149.615,z
6AK8,61.6181,-149.669,z
AK25,61.6175,-149.615,z
AK29,61.6126,-149.852,z
54AK,61.6071,-149.574,z
99Z,61.6065,-149.278,z
AK88,61.6047,-149.04,z
80AK,61.602,-149.784,z
14AK,61.6015,-149.248,z
43AK,61.6008,-149.579,z
23AK,61.5941,-149.311,z
9AK7,61.5898,-149.817,z
AK63,61.5886,-149.143,z
AK47,61.5857,-149.563,z
63AK,61.5843,-149.938,z
PANI,61.5816,-159.543,z
56AK,61.575,-149.606,z
4A3,61.5746,-149.473,z
62AK,61.5729,-149.575,z
CBH4,61.5647,-124.815,z
89AK,61.5594,-149.705,z
4AK2,61.558,-149.424,z
5AK6,61.557,-149.268,z
AK50,61.5546,-149.144,z
5AK9,61.5485,-149.19,z
4AK8,61.5363,-158.739,z
PALG,61.5363,-160.341,z
67AK,61.5346,-149.67,z
44AK,61.5334,-150.102,z
CFT5,61.5239,-128.269,z
55AK,61.4958,-149.699,z
CEK2,61.4844,-135.776,z
AK36,61.436,-150.122,z
AK31,61.4112,-143.001,z
8AK6,61.3719,-150.262,z
D72,61.3525,-149.546,z
USRR,61.3437,73.4018,z
A13,61.3413,-148.999,z
0AK9,61.3326,-150.059,z
USHS,61.3266,63.6019,z
CYJP,61.3194,-117.606,z
47AK,61.2925,-149.533,z
ULKK,61.2358,46.6975,z
AK0,61.2187,-142.89,z
CSR,61.1587,-149.781,z
9AK5,61.1165,-149.819,z
AK12,61.1066,-149.864,z
CBD6,61.0297,-123.389,z
9AK3,61.0139,-151.449,z
ULKS,60.995,46.87,z
CFE8,60.8028,-137.491,z
Z59,60.782,-161.743,z
03AK,60.7272,-151.1328,z
2R3,60.7044,-151.311,z
PYL,60.6853,-147.919,z
3AK5,60.5889,-152.162,z
AK84,60.5294,-150.831,z
7AK5,60.5036,-150.936,z
9Z9,60.4111,-149.37,z
96AK,60.2878,-151.346,z
AK5,60.2556,-151.303,z
CYJF,60.2358,-123.469,z
CYZW,60.1728,-132.743,z
CFP6,60.1292,-124.049,z
CFY5,60.1031,-130.934,z
PTPN,6.9851,158.209,z
SVLC,6.9833,-68.0667,z
SVNR,6.9833,-68.6333,z
SVLX,6.9667,-69.35,z
SVOC,6.9667,-68.3333,z
SVTL,6.9417,-65.8917,z
SVAF,6.9333,-68.0167,z
SVCY,6.9333,-68.6333,z
BYV,6.9294,79.8542,z
SVVM,6.9167,-68.15,z
SVCT,6.8833,-68.3833,z
SVDF,6.8667,-68.7833,z
SVVR,6.8333,-63.5833,z
VCCC,6.822,79.8862,z
SVRI,6.7841,-68.8651,z
SVLS,6.7667,-68.35,z
VRMH,6.7442,73.1705,z
DGSI,6.7146,-1.5908,z
SVBN,6.6,-62.7333,z
SVNV,6.5833,-66.2,z
SVVX,6.5617,-66.0017,z
FEFR,6.5278,21.9894,z
FEFY,6.52,23.26,z
VTSC,6.5199,101.743,z
